岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
数据挖掘,北京-朝阳,30k-45k,3-5年,本科,数据挖掘,数据分析,大数据,阿里巴巴集团,互联网,10000人以上,"1、负责迭代优化达摩盘算法类标签/人群：调研机器学习/NLP/深度学习/强化学习等技术在营销领域人群策略方向的应用实践和前沿方法，落地应用到新客/新品/大促等核心营销场景的标签和人群迭代中，线上投放效果对比大盘有显著提升。
2、负责洞察分析商家/品牌商的广告营销心智和诉求，针对商家/品牌商的不同营销诉求和目标，实现并优化百万级商家、亿级标签特征的标签和人群策略个性化推荐算法和模型效果，助力商家/品牌商持续提升营销效果。
3、负责达摩盘算法基础建设：调研推荐、排序等方向的基础算法和应用方法，构建营销数据科学方向统一的底层基础算法模型和特征数据，包括但不限于商品/店铺/品牌/类目维度的ctr/购买概率/互动率预估模型、基础特征数据、Embedding数据等，为部门在营销数据科学方向储备数据算法技术，驱动达摩盘标签体系和人群的迭代优化。",2023-11-10,boss直聘
数据挖掘工程师,北京,15k-25k,3-5年,大专,Python,机器学习经验,自然语言处理经验,某大型计算机软件上市公司,计算机软件,500-999人,"1、基于现有业务的文本数据，进行非结构化文本的特征提取、语义识别、自动文本聚类和情感分析等文本挖掘的工作。
2、针对业务问题，进行专题分析，对用户需求和业务场景进行刻画，输出相应的分析报告，为服务优化提供建议，提升用户体验。
3、及时响应客户的问题，与客户建立良好的关系；理解并协助客户梳理需求，负责将需求落地，包含不限于方案设计、数据建模、产品设计等。
任职要求：
1、计算机、数学、统计学相关专业，本科及以上学历。
2、三年以上工作经验，具有自然语言处理专业知识，熟悉数据挖掘、机器学习、统计学的常用算法，有实际的文本挖掘项目的经验。
3、熟悉文本挖掘技术（文本分类、聚类、相似度计算、语义分析等）优先。
4、能熟练运用Python和sql处理数据，熟练运用word、excel、ppt等办公软件撰写各种数据分析报告。
5、对数据和业务有敏锐的洞察力，能够协助客户开展数据挖掘、问题分析、营销策略、客户定位、产品优化等相关工作。",2023-12-08,boss直聘
数据挖掘工程师,北京-海淀,20k-40k·15薪,3-5年,本科,hive,Spark,数据挖掘,新浪数科,互联网金融,1000-9999人,"岗位职责：
1、负责电商数据挖掘、模型开发，以提高风控效果；
2、通过设计和优化策略和算法，输出完整的数据服务产品；
3、建立用户画像和用户标签体系。
任职资格：
1、有2+年的数据挖掘、机器学习经验，深刻理解机器学习/数据挖掘相关算法，有扎实的基本功和良好的逻辑思维能力；
2、基础扎实，对常用算法有较深入的理解, 熟悉文本分类、CNN、RNN网络结构，有NLP实践经验；
3、对行为预测、自然语言、用户画像、大数据等领域有深入实践者优先；
4、熟悉分布式/高性能计算系统，有hadoop、spark等开发经验者优先；
5、对Tensorflow\Theano\Torch\Caffe\Mxnet有过深入应用经验者优先。",2023-11-29,boss直聘
数据挖掘工程师,北京-海淀,18k-35k,3-5年,本科,MATLAB,Spark,Python,歌尔,智能硬件,10000人以上,"岗位职责
1.梳理业务流程，构建完善的供应链监控指标体系，搭建并持续优化供应链算法模型及数据模型，保障需求预测准确性
2.基于大数据平台，通过专业的数据挖掘流程，对工业生产过程数据进行分析，如良率 故障分析
3.负责工业场景下的智能优化方法研究、智能决策方法研究；
4.调研国内外行业相关数据应用场景，并研究其在工业领域的应用；
5.负责模型开发调试部署，及相关文档编写
任职要求：
1.本科以上学历 电气控制，机械、数学、计算机科学、统计学相关专业
2. 对数据有足够的敏感性，有较强的结构化思维和逻辑分析能力
3. 具有快速的业务理解及学习能力，自我驱动力强
4. 具有良好的沟通和协调能力，能够积极主动地推动、支持跨部门相关合作
5.编程基础扎实，熟悉算法数据结构，有较好的Python开发经验；
6.在机器学习、深度学习、数据挖掘等方向有一定积累。熟悉经典的算法并有实践经验，包括但不限于LR、SVM、GBDT、Unsupervised Learning、Causal Inference、Reinforcement Learning、Deep Learning；
7.有工业数据分析、故障诊断、工艺优化项目经验优先",2023-11-28,boss直聘
数据挖掘,北京-朝阳,30k-60k·24薪,5-10年,大专,数据挖掘,数据治理,商业分析,壹零网络科技,互联网,,景区，民宿等对c端产品，排名算法,2023-11-10,boss直聘
数据挖掘算法工程师,北京-海淀,30k-50k,5-10年,本科,搜索/推荐,语音/图像识别,机器学习算法/工程化经验,金山WPS,互联网,1000-9999人,"工作职责
1、研究数据挖掘、统计学习、深度学习领域的前沿技术，针对海量互联网用户行为和内容信息建模理解用户，构建用户画像标签，包括但不限于职业画像、兴趣画像、人口属性等；
2、负责机器学习算法的研究、实现和优化，包括但不限于图挖掘、句向量、聚类和多分类等方向；
职位要求
1、良好的逻辑思维能力，能够从海量数据中发现有价值的规律 ，有较好的数据sense；
2、熟悉PYTHON,JAVA,CC++等至少一门常用语言，对数据结构和机器学习算法有较为深刻的理解和认知；
3、具备大规模机器学习、深度学习等相关技术和项目实战经验者优先，有图挖掘项目实践经验者优先；
4、具有优秀的分析和解决问题的能力，对有挑战性问题充满激情。",2023-12-10,boss直聘
数据挖掘,北京-海淀,40k-60k·14薪,3-5年,本科,Python,Java,Scala,领格卓越,在线教育,1000-9999人,"岗位职责 1、负责在线教育场景下画像建设、文本挖掘等应用的研发。 2、加强服务理解，建模用户、场景与行为表现等关联关系，优化服务、教研等业务的应用落地效果。 岗位基本需求 1、计算机相关专业硕士以上学历，具有优秀的逻辑思维与业务分析能力。 2、大中型互联网公司2年以上知识图谱、用户画像、广告定向或搜索推荐系统的实践经验。
3、在机器学习方向有较强的积累，熟悉经典的算法并有实践经验，包括但不限于GBDT、深度学习、强化学习等；
4.精通至少一种开发语言，如：Java、Scala、Python等，能熟练使用SQL进行数据处理； 5.有好的自驱力和业务意识，能够主动贴近业务，挖掘业务痛点，解决业务实际问题； 6.有较强的逻辑思维能力，善于分析、归纳、解决问题； 7.能够快速掌握工作领域的业务和技术，能承受必要的工作压力； 岗位亮点 1、作为数据挖掘方向的核心力量，参与到相关整体设计和研发中。挑战和机遇并存，与多个业务方长期深度合作，发展空间较大。",2023-11-10,boss直聘
腾讯广告行业数据挖掘算法工程师(北京),北京-海淀,30k-60k·16薪,3-5年,本科,机器学习算法/工程化经验,,,腾讯,互联网,10000人以上,"岗位职责 1、负责在线教育场景下画像建设、文本挖掘等应用的研发。 2、加强服务理解，建模用户、场景与行为表现等关联关系，优化服务、教研等业务的应用落地效果。 岗位基本需求 1、计算机相关专业硕士以上学历，具有优秀的逻辑思维与业务分析能力。 2、大中型互联网公司2年以上知识图谱、用户画像、广告定向或搜索推荐系统的实践经验。
3、在机器学习方向有较强的积累，熟悉经典的算法并有实践经验，包括但不限于GBDT、深度学习、强化学习等；
4.精通至少一种开发语言，如：Java、Scala、Python等，能熟练使用SQL进行数据处理； 5.有好的自驱力和业务意识，能够主动贴近业务，挖掘业务痛点，解决业务实际问题； 6.有较强的逻辑思维能力，善于分析、归纳、解决问题； 7.能够快速掌握工作领域的业务和技术，能承受必要的工作压力； 岗位亮点 1、作为数据挖掘方向的核心力量，参与到相关整体设计和研发中。挑战和机遇并存，与多个业务方长期深度合作，发展空间较大。",2023-11-10,boss直聘
数据挖掘工程师,北京-顺义,35k-50k·13薪,3-5年,本科,Python,C++,Shell,理想汽车,智能硬件,10000人以上,"岗位职责 1、负责在线教育场景下画像建设、文本挖掘等应用的研发。 2、加强服务理解，建模用户、场景与行为表现等关联关系，优化服务、教研等业务的应用落地效果。 岗位基本需求 1、计算机相关专业硕士以上学历，具有优秀的逻辑思维与业务分析能力。 2、大中型互联网公司2年以上知识图谱、用户画像、广告定向或搜索推荐系统的实践经验。
3、在机器学习方向有较强的积累，熟悉经典的算法并有实践经验，包括但不限于GBDT、深度学习、强化学习等；
4.精通至少一种开发语言，如：Java、Scala、Python等，能熟练使用SQL进行数据处理； 5.有好的自驱力和业务意识，能够主动贴近业务，挖掘业务痛点，解决业务实际问题； 6.有较强的逻辑思维能力，善于分析、归纳、解决问题； 7.能够快速掌握工作领域的业务和技术，能承受必要的工作压力； 岗位亮点 1、作为数据挖掘方向的核心力量，参与到相关整体设计和研发中。挑战和机遇并存，与多个业务方长期深度合作，发展空间较大。",2023-11-10,boss直聘
国企银行编制+数据挖掘,北京,40k-70k,3-5年,硕士,Python,R,,某500强上市公司,互联网金融,1000-9999人,"工作职责
智能营销、运营、风控、财务、监管方向
1、结合银行营销、运营、风控、财务、监管领域重点任务，通过机器学习、数据挖掘支持客户洞察、行为分析、精准营销、线上运营、反洗钱、反欺诈、不良风险识别和处理、资产负债及财务分析；
2、负责数据分析领域的工作，开展数据产品研发和数据分析报告的规划、设计及交付；
3、负责数据挖掘的算法应用、优化等工作，参与数据挖掘及数据产品研发的规划、设计及实施；
任职要求
1、原则上为硕士研究生及以上学历，计算机及相关专业
2、具备两年及以上大数据分析、IT公司从事金融行业数据挖掘相关工作经验；
3、熟练掌握SAS、Python、R等一种或一种以上的分析工具，熟悉机器学习基本框架和模型常用算法，能够将机器学习、深度学习技术与金融应用场景进行结合应用；
4、熟悉大数据Hadoop相关组件（spark/Hive/Kafka等），有搜索引擎/推荐系统/风控平台的设计开发经验者优先；
5、熟悉数据分析挖掘过程，具备独立完成数据抽取、数据处理、数据建模及验证、数据分析报告等任务的能力；
6、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；",2023-12-10,boss直聘
数据挖掘,北京-顺义,9k-14k,经验不限,博士,R,机器学习经验,,宝枫生物科技,医疗健康,20-99人,"1. 生物学博士。进站博士后，保证出站。
2. 或者有临床数据挖掘的工作经验
3. 熟悉使用R或者其他分析工具。
4. 大生物学背景。性格开朗，再学习能力强。",2023-12-10,boss直聘
数据挖掘工程师,北京-朝阳,23k-45k·16薪,3-5年,硕士,Python,深度学习算法,机器学习算法,携程集团,互联网,10000人以上,"工作职责
1.根据场景进行营销模型的高效开发、部署和监控
2.负责机器学习平台/深度学习算法平台的建设
3.跟踪、研究及转化机器学习/深度学习等前沿技术
任职资格
1.精通常见的机器学习理论和算法比如LR,RF,GBDT,XGboost等，并能根据业务场景快速将模型落地、部署和监控；有较强的算法分析和实现能力
2.熟悉大数据系统Spark/hadoop/Hive等数据读取、存储、分析的核心原理及应用
3.熟悉深度学习理论，精通至少一种深度学习框架（tensorflow/keras/pytorch）等，有深度学习实际项目部署和应用经验
4.熟悉Java/Python，具备较强的Linux下开发经验
5.计算机/数学/信息相关专业本科5年以上，硕士3年以上，博士2年以上，机器学习/深度学习相关算法经验
6.乐观积极，敢于面对挑战",2023-12-10,boss直聘
数据挖掘,北京-朝阳,25k-40k,3-5年,本科,SQL,机器学习算法,数据安全,蚂蚁集团,互联网,10000人以上,"职责：
1、围绕数据生产、使用、流动过程中涉及的应用、IP、用户等关键介质，分析构建介质主体画像数据，建设数据及网络拓扑知识图谱；
2、结合安全合规要求，通过大数据分析挖掘和识别敏感信息；
3、基于应用日志和网络流量，分析挖掘敏感数据及其使用模式和行为异常；
职位要求：
1、本科及以上学历，计算机、信息安全、统计学、应用数学等相关专业，3年以上工作经验；
2、熟悉数据挖掘及相关技术，熟悉聚类、回归、分类等数据挖掘常用方法，熟悉图计算、图分析相关优先；
3、熟悉大数据框架，了解数仓或大数据平台，有相关工作经验者优先；
4、熟悉python、scala、sql等至少一种分析语言；
5、有内容识别、知识图谱、内容安全、数据安全等相关经验者优先；
6、有良好的沟通能力和团队合作能力；",2023-11-10,boss直聘
数据挖掘工程师,北京,20k-35k·13薪,3-5年,本科,SQL 数据建模 挖掘,,,某数据服务公司,数据服务,20-99人,"职位描述：
1、参与数据源分析工作，完成爬虫数据与数据平台的对接，基于消费者行为、特征、关系等要素建立大数据分析模型，制定有效的的识别策略和算法，并进行算法原型实现；
2、根据业务需求，制定清洗规则并用程序实现，对已有数据清洗规则进行修正，提升数据质量，负责数据质量稽查和监控设计。
3、根据特征工程输入，清洗数据，包括但不限于处理缺失值、重复值、虚假值、离群点，矫正数据分布，数据归一化等工作。
4、参与各种文档开发相关文档的编撰及数据标准的制定。
5、负责数据质量相关的核对、审计和更正，并完成部门经理或项目经理安排的其它工作。
任职要求：
1. 全日制本科及以上学历，研究生优先，应用数学、统计学、计算机科学、数据分析等相关专业，三年以上数据从业经验；
2、了解常用数据结构及算法，熟悉常用算法库；能熟练使用数据库进行数据的清洗，集成，变换，规约需求的编程实现。
4、对数据敏感，熟悉常用数据挖掘算法，具有数据清洗、数据挖掘方向的开发经验的优先；
5、有概率论与数理统计相关基础，对数据敏感，能从数据库中提炼核心内容。
6、善于业务理解，熟悉特征工程（特征降维、特征融合等）。
7、具备分析、解决问题的能力，沟通能力强，能够承受工作中的压力，有团队合作精神，具备责任感。
8、 掌握SQL Server/MySQL/Oracle等一种或多种,具备扎实的SQL功底，熟悉关系型数据库，能编写复杂SQL，能熟练使用Python的优先。
9. 熟悉数据仓库和商务智能技术的知识和原理，有一定统计建模背景，熟悉常用的特征抽取、特征选择、分类、聚类和回归模型；",2023-12-04,boss直聘
数据挖掘工程师,北京-朝阳,20k-40k,3-5年,本科,Python,R语言,,国新智电,新能源,100-499人,"岗位职责:
1、基于用户行为数据，理解用户线上线下各种行为，挖掘用户显性和潜在兴趣需求，构建和优化用户画像模型，用于智能推荐、路径规划、用户感知、智能营销等个性化服务；
2、负责场景和推荐平台相关算法的开发与改进，对算法模型持续优化，提升推荐质量 ；
3、结合业务需求，对数据进行挖掘和建模，进识别新的场景特征，并提出相应的推荐策略；
4、通过对数据的敏锐洞察以及定性和定量分析，迅速定位充电桩等资产设备部故障报警等；
5、负责商业化日常数据分析及监控，针对异常情况协调资源进行跟踪和深入分析；
6、能根据实际业务完成较深入的专项数据分析，并形成数据分析报告；
7、跟踪互联网领域相关推荐或者机器学习算法发展趋势，对前沿技术结合产品业务进行实验及落地。
岗位要求：
1、优秀的逻辑思维能力以及分析和解决问题的能力；具有良好的数据敏感度，能够从海量数据中发现有价值的规律，具有较强的数据分析能力；
2.、熟悉常用的机器学习和数据挖掘原理与算法，如分类、聚类、回归、协同过滤、内容过滤等；对常用算法如LR、GBDT、SVM、LDA、CRF、HMM等任意一种的模型原理以及工程实践上有较多经验；熟悉深度学习算法如CNN、DNN、RNN等模型原理，具有一定的实践经验，熟练使用Tensorflow,Spark MLib, Caffe，Sklearn等一种以上机器学习工具框架;
3.、至少熟悉SAS/R/python中的一种语言，至少熟悉一种常用的机器学习库； 熟悉基本算法和数据结构，具有扎实的编程基本功；
4、掌握基于 Hadoop 或 Hbase等大数据平台工具的开发与设计，熟悉Hive，Spark开发；
5、具有良好的沟通能力，和良好的团队合作精神",2023-11-10,boss直聘
数据挖掘/算法工程师,北京,25k-50k,3-5年,本科,自然语言处理,深度学习算法,算法设计,京东科技集团,互联网,1000-9999人,"1.基于京东海量数据，通过数据挖掘、机器学习、NLP、知识图谱、GIS等技术，精细刻画用户或相关实体画像、关系挖掘；
2.负责用户精细化挖掘，重点业务标签优化，通过业务要素分析驱动标签扩展，通过画像数据挖掘驱动业务决策；
3.建设多维度数据标签，健全标签生产体系和架构，推进挖掘项目落地；
4.研究大数据挖掘和算法的前沿技术，搭建标签模型和策略架构
5.良好的统计分析和算法基础，熟悉数据挖掘、机器学习相关算法，了解AI前沿技术，有NLP、知识图谱、深度学习经验优先；
6.用户画像、位置智能、地理数据挖掘、数仓经验者优先；
7.乐于接受挑战，良好的逻辑分析和沟通表达能力，良好的团队和主动沟通意识",2023-11-10,boss直聘
数据挖掘,北京,20k-40k,3-5年,硕士,SQL,Python,R,某500强上市公司,互联网金融,1000-9999人,"1、结合银行营销、运营、风控、财务、监管领域重点任务，通过机器学习、数据挖掘支持客户洞察、行为分析、精准营销、线上运营、反洗钱、反欺诈、不良风险识别和处理、资产负债及财务分析；
2、负责数据分析领域的工作，开展数据产品研发和数据分析报告的规划、设计及交付；
3、负责数据挖掘的算法应用、优化等工作，参与数据挖掘及数据产品研发的规划、设计及实施；
招聘条件：
1、原则上为硕士研究生及以上学历，计算机及相关专业，年龄35周岁及以下，特别优秀者，可适当放宽；
2、具备两年及以上银行、大数据分析、IT公司从事金融行业数据挖掘相关工作经验；
3、熟练掌握SAS、Python、R等一种或一种以上的分析工具，熟悉机器学习基本框架和模型常用算法，能够将机器学习、深度学习技术与金融应用场景进行结合应用；
4、熟悉大数据Hadoop相关组件（spark/Hive/Kafka等），有搜索引擎/推荐系统/风控平台的设计开发经验者优先；
5、熟悉数据分析挖掘过程，具备独立完成数据抽取、数据处理、数据建模及验证、数据分析报告等任务的能力；
6、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；
7、“对参加抗击疫情一线医护人员的配偶或子女”及“光大系统内员工”在同等条件下优先录取；
8、符合我行任职回避有关规定。",2023-12-06,boss直聘
数据挖掘工程师（业务安全）,北京-朝阳,28k-35k·16薪,3-5年,本科,业务导向,风控/反欺诈,,酷狗音乐,互联网,1000-9999人,"岗位描述
1、负责风控模型规划及落地，包括但不限于反欺诈模型、行为评分等等； 2、基于用户行为海量数据，分析和挖掘，发现用户行为模式与规律，提高风控业务效果； 3、通过分析和挖掘数据，发现风险变化趋势，提出建模构想，构建用户画像体系。
岗位要求
1、有互联网/金融等行业，风控相关工作经验者优先考虑； 2、计算机、统计学、数学相关专业本科及以上学历； 3、3年及以上数据挖掘或知识图谱工作经验； 4、熟悉数据挖掘算法，能够验证算法效果，将算法应用在风控业务中； 5、责任心强，沟通表达能力佳，可独当一面。",2023-12-09,boss直聘
数据挖掘工程师,北京-海淀,20k-30k,3-5年,本科,数据挖掘,Spark,Hadoop,科源美,电子商务,,"基于海量的电商、物流、交通、用户行为数据，结合地理空间数据，使用大数据机器学习，来挖掘商户-用户关系、商户位置、商户发现、商户变更等地图关键数据，并探索更深层次的数据价值。
职位要求：
1.计算机、数学相关专业，本科或以上学历；
2.三年以上数据挖掘相关工作经验；
3.优秀的编程能力，精通C++或Python等。
熟悉大规模数据处理平台Hadoop/Spark/ODPS等。
熟悉主流深度学习工具TensorFlow/Caffe/MXNet/Theano等；
4.精通数据挖掘项目的流程和思路，熟悉常用机器学习算法；
5.对地理和位置数据的挖掘有浓厚兴趣，充满激情，挑战未知；",2023-11-23,boss直聘
NLP/数据挖掘算法工程师,北京-朝阳,20k-35k,3-5年,本科,Java,Scala,深度学习算法,360集团,互联网,1000-9999人,"我们专注于大数据之上的NLP语义计算&数据挖掘算法研究与应用，如果你了解NLP、机器学习、深度学习、主动学习、语义特征提取，对人工智能抱有热情，勇于挑战各种实际应用难题，欢迎加入我们。
职责描述：
1、基于的海量用户日志数据，利用NLP技术，更好地理解和描述用户行为、兴趣，用户画像、实时推荐算法的构建实现。
2、研发牢固可靠的NLP基础技术，如大规模NLP预训练、NER、QUERY解析、语义理解等。
任职要求：
1、计算机、数学、通信等相关专业，硕士以上学历，博士优先，熟练使用tensorflow、pytorch等框架者优先；
2、对NLP技术和原理有较深入的理解，深入了解NLP处理中的word2vec、fasttext、bert等embedding模型及应用，熟悉中文分词、文本分类、文本聚类、文本结构化、文本相似度计算、实体链接相关内容者优先；
3、熟悉Python/Java/Scala中的一种或多种编程语言，有较强coding能力，熟悉hadoop/hbase/hive/spark等分布式计算架构优先；
4、正直诚信、有团队精神，有良好的学习能力，沟通能力和独立解决技术问题的能力；
5. 善于学习了解前沿知识与技术，自驱能力较强，有较强的技术选型及规划能力、较好的沟通能力，积极主动，愿意接受挑战，抗压能力强优先。",2023-11-10,boss直聘
数据挖掘工程师,北京-朝阳,20k-30k·13薪,3-5年,本科,Python,SQL,自然语言处理,维恩咨询,数据服务,20-99人,"职位描述：
1、参与数据源分析工作，完成爬虫数据与数据平台的对接，基于消费者行为、特征、关系等要素建立大数据分析模型，制定有效的的识别策略和算法，以Tensorflow、Sklearn、SparkMLLIB等形式进行算法原型实现；
2、根据业务需求，制定清洗规则并用程序实现，对已有数据清洗规则进行修正，提升数据质量，负责数据质量稽查和监控设计。
3、根据特征工程输入，清洗数据，包括但不限于处理缺失值、重复值、虚假值、离群点，矫正数据分布，数据归一化等工作。
4、数据可视化，形成数据产品
任职要求：
1. 全日制本科及以上学历，研究生优先，应用数学、统计学、计算机科学、数据分析等相关专业，三年以上数据从业经验；
2、了解常用数据结构及算法，熟练掌握python，熟练掌握Pandas，熟悉常用算法库；能熟练使用Python进行数据的清洗，集成，变换，规约需求的编程实现。
3、熟悉TensorFlow框架和TF-Serving
4、对数据敏感，熟悉常用数据挖掘算法，具有数据清洗、数据挖掘方向的开发经验的优先；
5、有概率论与数理统计相关基础，对数据敏感，能从数据库中提炼核心内容。
6、善于业务理解，熟悉特征工程（特征降维、特征融合等）。
7、具备分析、解决问题的能力，沟通能力强，能够承受工作中的压力，有团队合作精神，具备责任感。
8、 掌握SQL Server/MySQL/Oracle等一种或多种,具备扎实的SQL功底，熟悉关系型数据库，能编写复杂SQL，了解MongoDB，Redis优先。
9、熟悉大规模数据挖掘、机器学习等相关技术,熟悉Hadoop/Spark/Hive技术优先
10、熟悉NLP相关算法（分词、词性标注、命名实体识别、文本分类、聚类等）优先",2023-11-10,boss直聘
数据挖掘工程师（营销方向）,北京-朝阳,15k-30k,3-5年,本科,Python,SPSS,SAS,福建极推科技有限公司,数据服务,100-499人,"岗位职责：
1、使用建模工具进行指标设计、模型优化，包括数据准备、建模及分析、模型的选取与优化、模型验证和数据挖掘等工作。
2、对结构化/非结构化数据进行清洗及标准化处理，如关键字抓取、缺失值处理、异常值处理等
3、根据与业务访谈结果，整理业务需求，并与客户沟通确认，对数据进行数据分析、数据挖掘，数据可视化、形成数据
产品，对海量业务数据进行分析；
4、对数据敏感，具备独立建模和数据分析能力。能够将碎片化的信息条理化；
任职要求：
1、本科及以上，3-5年工作经验
2、精通Excel、SPSS 、SAS、Python等办公软件和分析工具，有一定分析材料写作能力；
3、具有数据分析工作能力和经验，熟悉银行相关政策、流程和规则，有金融从业经验尤佳；
4、具有良好的服务意识、责任心及团队协作能力；
5、具有数据分析工作能力和经验，熟悉银行、金融或者保险相关政策、流程和规则，有营销相关项目经验者优先
同盾 百融 联通 冰鉴 td 融慧金科 百行 朴道 腾讯云 神州数码 宇信科技 顶象等等同行业公司的人选可以直接面试",2023-11-10,boss直聘
数据挖掘工程师,北京,18k-35k,3-5年,本科,Python,Hive,Spark,某大型互联网公司,互联网,500-999人,"岗位职责：
1.擅长复杂数据的分析挖掘和建模，搭建大数据风控、信贷准入等业务主体的指标设计和模型开发；
2.针对金融欺诈、信贷准入等场景，运用统计学方法，将业务问题抽象成数据挖掘问题，解决实际业务痛点；
3.通过对可疑交易的流水分析，深入挖掘样本的潜在特点，抽象出更有价值的场景特性；
4.深度分析大量数据，发现业务趋势、模式和洞察，尤其在反欺诈方面提供有价值的见解；
5.参与银行反欺诈相关的数据开发工作，熟悉反欺诈策略和模型；
6.熟悉银行业务知识，深入了解核心业务、信贷业务相关数据的构成。
任职要求
1.本科或以上学历优先考虑，计算机科学、数据科学、统计学或相关领域优先；
2.熟悉常用机器学习及算法原理，掌握数据处理技术，如Python、Hive、Spark等；
3.拥有3年以上数据建模和统计分析经验，熟悉常用数据分析工具和库；
4.金融工作背景优先，对数据敏感，有较强的分析能力；
5.具备解决问题和独立工作的能力，优秀的沟通能力和团队合作精神。",2023-12-08,boss直聘
数据挖掘工程师,北京-朝阳,15k-25k·15薪,3-5年,本科,Python,SQL,深度学习算法,邦盛科技,计算机服务,1000-9999人,"岗位职责：
1、 针对金融风险、欺诈检测场景、理财推荐问题，运用机器学习方法，抽象成数据挖掘问题，解决各个实际业务问题；
2、 针对金融风险、欺诈检测场景、理财推荐问题，数据分析手段，使用sql或者python实现规则逻辑，进行规则调优，协助业务决策；
3、 通过对业务场景的敏锐洞察，深入挖掘目标样本的潜在模式，抽象出更有价值的场景特征；
4、 通过使用公司建模分析产品，提出改进方案，优化产品的用户体验。
任职要求：
1、 3年以上风险分析工作经验，本科及以上学历，计算机类、经济类及金融类等相关专业；
2、 了解分类、聚类、回归等基本场景下的机器学习算法，对决策树提升树模型有深入理解；
3、 掌握数据处理语言，如Python，SQL，Spark等，具备Linux环境开发能力；
4、 熟悉欺诈检测、理财推荐等业务场景优先，有参加天池、Kaggle等数据挖掘竞赛经历者优先；
5、 理解词嵌入技术，图嵌入技术，并有将其应用在金融场景的经验者优先；
6、 有使用图谱技术解决风控问题经验者优先；
7、有使用无监督的方法解决风控问题的经验者优先；
8、 关注思考、喜欢钻研、能够主动分析解决问题，工作有激情，有责任心，愿意接受适当的挑战，对数据行业热爱，具备良好的沟通能力和团队合作精神，适应短期出差。",2023-12-07,boss直聘
数据挖掘工程师 (MJ001521),北京-东城,30k-45k,5-10年,本科,Python,计算机相关专业,数学/统计相关专业,OPay,互联网,500-999人,"工作内容：
1.负责海外金融业务风控工作，运用多种模型驱动业务增长；
2.负责风控业务中常见指标的分析，制定相关规则和建立模型；
3.开发风控业务所需的多项工程，包括但不限于模型工程、特征工程、图谱工程；
4.优化目前已有的算法，尝试各种数据增强方法，提升精度；
5.追踪前沿的NLP模型/工具，文本挖掘，能够快速学习并应用于业务，解决业务难题。
任职要求：
1.计算机、数学等相关专业硕士及以上毕业（金融、风控领域优先）；
2.2年以上NLP算法、文本挖掘经历，熟练使用Python与Linux；熟悉深度学习框架；
3.对建模、层次化多标签文本分类、无结构文本挖掘、NLP等关键前沿技术相关工作经验；
4.热爱技术，对性能有不懈追求；
5.良好的学习、沟通能力和技术攻坚能力并能承担一定工作压力。",2023-11-10,boss直聘
数据挖掘工程师（国企上市公司）,北京-西城,20k-40k·16薪,3-5年,硕士,Java,Python,,广沐科技,移动互联网,500-999人,"工作职责
智能营销、运营、风控、财务、监管方向
1、结合银行营销、运营、风控、财务、监管领域重点任务，通过机器学习、数据挖掘支持客户洞察、行为分析、精准营销、线上运营、反洗钱、反欺诈、不良风险识别和处理、资产负债及财务分析；
2、负责数据分析领域的工作，开展数据产品研发和数据分析报告的规划、设计及交付；
3、负责数据挖掘的算法应用、优化等工作，参与数据挖掘及数据产品研发的规划、设计及实施；
任职要求
1、原则上为硕士研究生及以上学历，计算机及相关专业
2、具备两年及以上银行、大数据分析、IT公司从事金融行业数据挖掘相关工作经验；
3、熟练掌握SAS、Python、R等一种或一种以上的分析工具，熟悉机器学习基本框架和模型常用算法，能够将机器学习、深度学习技术与金融应用场景进行结合应用；
4、熟悉大数据Hadoop相关组件（spark/Hive/Kafka等），有搜索引擎/推荐系统/风控平台的设计开发经验者优先；
5、熟悉数据分析挖掘过程，具备独立完成数据抽取、数据处理、数据建模及验证、数据分析报告等任务的能力；
6、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；",2023-12-08,boss直聘
