岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
NLP算法工程师——北京,北京,40-70K·15薪,1-3年,本科,"TensorFlow
PyTorch
人机对话相关经验
自然语言处理项目经验",某大型社交网络公司,社交网络,100-499人,"【岗位职责】
1. 研发适用于社交场景的大语言模型
2. 研发适用于社交场景的文生图/视频模型
职位要求
1.统招硕士及以上学历，有过基于大模型进行fine-tuning的经验
2.熟练使用深度学习框架，如TensorFlow、PyTorch等
2.熟悉NLP常见算法和模型，有过问答、对话、搜索相关项目经验
4.熟悉Python或C++编程语言
加分项：
Transformer语言模型
强化学习",更新于：2024-01-27
自然语言处理,北京,15-25K,1-3年,本科,"Python
PyTorch
Selenium
机器学习经验
大模型",某大型企业服务公司,企业服务,500-999人,"根据客户的业务需求，定制和优化深度学习模型。
使用Python或其他语言进行数据处理、模型训练和调优。
与客户紧密合作，确保模型满足其特定需求。
出差至客户现场进行模型培训、实施和支持。
持续评估并推荐使用的新技术、工具和方法。。基本要求：
学士学位或以上学历，计算机科学、统计学或相关专业。
至少2年的深度学习模型训练经验。
熟练掌握Python，具有数据处理和分析经验。
对深度学习基本原理有深入理解。
良好的沟通能力和客户服务态度。
能够适应频繁的出差。",更新于：2024-01-27
机器学习/NLP/CV/数据挖掘算法工程师,北京·海淀区·西北旺,20-40K·16薪,1-3年,本科,"计算机相关专业
深度学习经验
机器学习算法/工程化经验
自然语言处理算法
计算机视觉算法
用户增长",百度,互联网,10000人以上,"工作职责:
-参与百度内容生态业务相关的算法研发工作，包括但不限于使用自然语言处理、图片理解、视频理解、知识图谱、推荐等技术，通过算法驱动创作者从入驻到创作、经营的全链路增长，促进百度内容生态的繁荣
-参与百度内容生产与理解相关的工作，包括但不限于使用深度模型、大模型在内容生产、内容改写、内容理解、优质内容推荐等相关业务
-参与创作者理解相关的工作，包括但不限于电商带货、保量推荐、冷启扶持等相关业务
-能够通过数据分析发现业务问题和机会点，并能提出有效的解决策略；主动分析发现产品问题、指导产品迭代，并进行有针对性的数据洞察分析与挖掘
任职资格:
-1年以上深度学习/机器学习领域相关经验，具有计算机识别（人脸识别、目标识别等）或nlp方向（内容理解、内容生成等）等相关实践经验，有大模型相关经验者优先
-具备扎实的编程基础，掌握python/c++等变成语言，熟悉至少一种深度学习框架（如tensorflow、pytorch等)
-具有良好的数据敏感度与策略思维，能从海量数据中分析出核心业务问题，指导业务发展
-有内容生态相关产品的算法工作经验者优先",更新于：2024-01-26
NLP 算法工程师,北京·海淀区·学院路,30-50K·15薪,经验不限,本科,"C++
Python
Go
深度学习算法
机器学习算法
DNN
CNN
TensorFlow",北京有竹居网络,社交网络,10000人以上,"职位描述
1. 支持快速增长的业务的算法支持工作。职责范围包括提高决策信息覆盖，提升转化效率，改善用户体验，探索更高效的商业模式，提升内容理解程度等；
2. 对用户、作者、商家行为做深入理解和分析，制定针对的算法策略促进生态良性发展。
3. 深入理解垂直领域业务知识，承担行业知识图谱建设，依靠知识图谱衍生、推进相关业务应用；
4. 深入理解垂直领域业务规则，承担智能客服、问答系统等B/C端人机交互业务开发及推进；
5. 负责商品/短视频/直播的标题、评论、详情介绍等文本内容的识别、挖掘与理解；
6. 探索 NLP 相关前沿技术，并应用落地到生活服务业务场景中
职位要求
1. 扎实的NLP算法基础，对文本分类、相似匹配、对话问答、机器翻译、序列标注、知识图谱、意图理解、词义消歧等领域有较深入理解和实践经验；
2. 熟悉知识图谱构建和推理相关的技术。对关系抽取、关系分类、序列标注、实体对齐、知识推理、图算法等方向有深入的研究和相关应用开发经验；
3. 熟悉常用的机器学习和深度学习算法，了解基本的网络模型结构（DNN/LSTM/CNN等）和文本表征方法（LDA/Word2Vec/ELMo/GPT/BERT等），对深度学习训练和推理模型调优有实操经验；
4. 熟悉TensorFlow/PyTorch/MXNet等开源深度学习框架；
5. 掌握基本的大数据相关组件（Hadoop/Spark/Hive/Flink），具有大批量文本数据处理清洗经验；
6. 熟悉Linux开发环境，精通C++/go/python至少一种编程语言，有扎实的算法和数据结构功底；
7. 良好的问题解决能力、团队合作意识和沟通能力，有相关业务场景实践经验者优先；
8. 在计算机科学高水平会议（ACL, EMNLP, NIPS, AAAI等）发表过论文或者有竞赛经验者优先。",更新于：2024-01-25
nlp高级算法工程师,北京,60-90K·15薪,1-3年,本科,"Java
C/C++
Python
计算机相关专业",某500强上市公司,电子商务,1000-9999人,"工作职责：
基于高质量的内容生态，研发实用领先的NLP智能创作技术，技术栈包括关键词提取、情感分析、上下文理解、命名实体识别、词性标注、句法分析、机器翻译、文本摘要、问答系统等，广泛支持智能内容创作需求，创造独有的产品用户价值。
任职资格：
1. 熟悉语言知识表示、大模型预训练及NLP智能创作，在以下一个或多个领域有深入的研究及落地经验，包括但不限于：NLP生成、文案创作、多轮对话、大模型预训练、模型压缩等
2. 具有优秀的编程基础及动手能力、良好的工作习惯，丰富的业务落地实战经验，优秀的快速学习能力 3. 敢于应对实际挑战，有坚韧的品质、优秀的自驱能力，善于主动沟通表达和团队协作
4. 发表ML/NLP等顶会/期刊论文、取得权威竞赛Top名次、ACM编程国际竞赛Top成绩者优先",更新于：2024-01-27
算法工程师（nlp 广告 推荐 搜索 cv）,北京,30-60K·15薪,1-3年,本科,捣腾过大模型相关东西,某游戏公司,游戏,0-20人,"岗位职责：
算法工程师（NLP或搜索或推荐或广告）、算法工程师（cv方向）
这两个岗位的人才要求是：
（1）自己当前参与大模型相关的项目（ChatGPT等语言模型，或 diffusion model等图像模型），或者，自己业余时间捣腾过大模型相关的东西。
1、带领推荐算法团队负责网文内容平台的推荐系统，提升用户体验；
2、负责推荐召回和排序算法选型、技术调研和难点攻关，提升业务核心指标；
3、负责分析业务用户行为数据构建用户画像，提升用户画像准确率，助力产品改进和业务推广；
4、负责部门业务的技术调研和难点攻关，能提出关键优化方案提升业务核心指标；
5、负责推荐算法团队搭建、业务把控、团队管理和人员培养。
岗位要求：
1、计算机，数学等相关背景，本科及以上学历，5年以上推荐系统领域工作经验，2年以上管理经验；
2、精通常用机器学习，深度学习在推荐系统的应用理论和实践；
3、精通国内业界主流大规模机器学习工程架构，精通常用的参数服务器上构建推荐算法的应用研究；
4、有多年C++ /go/python编程语言经验，有清晰的架构推演逻辑能力；
5、有扎实的数据结构和算法功底，熟悉推荐算法和具体落地，如特征挖掘、相关机器学习、统计原理等；
6、有大规模推荐系统、计算广告、搜索ranking经验者优先；
7、优秀的团队/项目驱动管理能力，沟通总结能力。",更新于：2024-01-27
AI算法工程师-nlp方向,北京·海淀区·上地,25-40K·15薪,1-3年,硕士,TensorFlow/PyTorch,小白羽,移动互联网,100-499人,"岗位职责
设计和实现自然语言处理算法，包括文本分类、信息提取、情感分析、机器翻译等；
运用深度学习和传统机器学习技术，对大规模文本数据进行处理；
开发和调试基于PyTorch、TensorFlow等框架的NLP模型；
研究和实现基于ChatGPT、LLM等模型的文本生成算法；
分析和优化算法性能，提高算法的效率和准确性；
与团队成员紧密合作，协同完成项目。
岗位要求
1，计算机科学、人工智能、数学、统计学等相关专业的硕士以上学位；
2，有1-3年NLP领域相关经验，精通文本分类、信息提取、情感分析、机器翻译等算法；
3，熟练掌握Python语言，熟悉PyTorch、TensorFlow等深度学习框架；
4，有ChatGPT、LLM等模型开发经验，对NLP领域最新技术有深入了解；
5，熟练掌握常用的数据结构和算法；
6，具备良好的沟通能力和团队合作精神。
加分项
发表过相关领域的论文；
有良好的英语阅读和撰写能力；
有工业界经验，能够快速适应团队的开发环境和工作流程；
对于自然语言处理领域的未来发展有深入的认识和思考。",更新于：2024-01-27
自然语言处理/NLP,北京,30-60K·16薪,经验不限,本科,"Python
C/C++
Java
自然语言处理项目经验
大型对话系统
大横型训练",某大型社交网络公司,社交网络,100-499人,"工作职责：
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等、
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
任职要求：
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、过往有参与过大型对话系统、大横型训练和部罢经验者优先
5、有 ACL、EMNLP、ICLR 等会议论文发表者优先
6、良好的自驱力，较强的团队合作精神",更新于：2024-01-26
机器学习算法工程师,北京·海淀区·车道沟,15-30K,经验不限,本科,"搜索/推荐
机器学习算法/工程化经验
计算机相关专业
深度学习经验
Python",瑞鑫天算,基金,20-99人,"岗位职责：
1、利用机器学习、深度学习和人工智能的方法研究股票、期货等相关历史数据中的规律；
2、对多因子股票模型及CTA量化模型进行因子挖掘、策略研究及策略组合；
3、探索适合目标领域的模型和算法。
任职要求：
1、教育背景： 毕业或在读于国内外知名高校，人工智能、金融工程、数学、统计、物理、计算机、生物工程、大气等相关专业，硕士及以上学历优先；
2. 精通机器学习（深度学习）并有应用模型解决实际问题的经验，熟悉监督学习、半监督学习或强化学习方法，具备创新研究能力。
3. 具有扎实的数学建模能力及编程能力，能熟练通过 Python、 R 等语言建立机器学习模型。掌握至少一种深度学习框架（PyTorch/TensorFlow）等
4. 有相关领域工作和研究经历者优先。",更新于：2024-01-27
机器学习算法工程师（推荐）,北京,80-110K·15薪,经验不限,本科,"机器学习
推荐算法",某大型知名培训公司,培训/辅导机构,,"1、负责最核心的业务推荐算法工作，与来自国内外顶级名校、有丰富业界经验的同学合作，共同搭建行业顶尖的推荐系统，为用户提供一流的产品体验；
2、将最前沿的机器学习技术应用到抖音的核心场景业务，优化用户体验促进业务发展；
3、研究方向包含且不局限于：深度学习、图神经网络、多任务学习、learning to rank、模型压缩和加速、多模态技术等，结合业务的实际问题来做好技术的探索和研究；
4、和产品、运营团队紧密合作，通过对产品和用户的深入理解和分析，制定算法策略促进抖音生态的长期繁荣发展。
职位要求
1、具备优秀的编码能力，扎实的数据结构和算法功底；
2、对推荐算法和机器学习有热情、乐于学习、思考和创新；
3、优秀的分析问题和解决问题的能力，有良好的沟通表达能力和团队精神；
4、熟悉机器学习、自然语言处理、数据挖掘中一项或多项，对推荐系统、计算广告、搜索引擎相关领域有经验者优先。",更新于：2024-01-27
机器学习/数据挖掘/自然语言处理工程师,北京,25-30K·16薪,1-3年,本科,计算机相关专业,百度在线,互联网,10000人以上,"【工作职责】：
1. 负责业内领先搜索算法、内容理解算法的调研和评估，通过传统机器学习和超大规模深度学习算法（NLP/多模态），打造业界领先的千亿级别网页内容理解技术体系
2. 设计策略和算法及分析系统的技术缺陷，对策略和系统做出合理的优化升级；
【任职要求】：
1. 本科及以上学历，计算机相关专业；
2. 岗位一需熟练使用C/C++，岗位二熟练使用C/C++/Python等其中一门语言即可；熟悉常用数据结构及算法，有一定linux使用经验优先；
3. 岗位二需熟悉机器学习、数据挖掘、自然语言处理等常用算法，有相关项目经验、深度学习经验者优先；
4. 工作积极主动，具有强烈的责任心，务实，具备良好的团队合作精神和沟通意识；
5. 具有突出的学习理解能力、逻辑思维能力、沟通协作能力和抗压能力，善于分析问题和解决问题；",更新于：2024-01-27
机器学习/深度学习研发工程师,北京·海淀区·永泰,25-50K,经验不限,本科,"C/C++
TensorFlow/PyTorch
机器学习算法/工程化经验
深度学习经验
有国际期刊/会议论文发表",北京德睿特科技,铁路/船舶/航空/航天制造,0-20人,"工作职责
-支持AI智能算法研究，包括但不限于机器学习、深度学习、强化学习等技术；
-实现和探索前沿的机器学习算法，丰富框架的应用案例；
-准备数据集，选取特征，搭建模型训练和实验评估环境，持续优化算法表现；
任职条件
-对机器学习有独到的理解，熟悉常见的深度学习模型、优化方法
-在CV/NLP/Speech等任一深度学习领域有较为深入的研究
-熟悉一个或多个深度学习框架，包括但不限于PyTorch，TensorFlow,hugging face, deepspeed等
-对主流深度学习框架有项目应用经验，熟悉常见深度学习模型结构和优化方法，能够进行常见深度模型训练；
-学习能力强、自我驱动力强，紧跟机器学习的发展动态
具有以下条件者优先考虑：
-在机器学习相关竞赛中取得优异成绩者优先
-在国际顶级会议或期刊发表论文、或有开源项目经历者优先
-有较强的实现能力，能从容应对算法实现过程中的调试、性能优化等问题者优先
-复合背景，熟悉深度学习多个领域者优先",更新于：2024-01-27
机器学习算法工程师,北京·海淀区·五道口,15-30K·14薪,1-3年,本科,"C++
Python
算法设计
深度学习算法
机器学习算法
Boosting
GBDT
TensorFlow",交叉科技,计算机服务,20-99人,"岗位职责：
1.基于海量数据和真实客户需求，对客户业务问题进行准确定义、数据分析、方案制定及实施；
2.参与相关机器学习、深度学习、强化学习或运筹优化模型的研发、设计和部署等工作，配合工程团队产出企业级的算法产品。
任职要求：
1.本科以上学历，计算机、数学、统计学等相关专业；
2.熟练掌握至少一种常用编程语言，如python/C/C++等，熟悉各种数据库使用；
3.熟练掌握常见的机器算法模型及原理，如线性回归、逻辑回归、Boosting、Bagging、SVM、Clustering、PCA、GBDT、XGBoost等；
4.具备一定的深度学习理论基础，熟练使用至少一种深度学习框架（Caffe，Keras，pyTorch，Tensorflow），喜欢研究前沿技术；
5.熟悉金融行业、互联网行业或有相关工作经验者优先。
岗位优势：
国高新企业、科学家团队、项目分红、带薪年假、五险一金、股权激励、免费零食、弹性时间。",更新于：2024-01-26
人工智能/机器学习算法工程师,北京,12-24K·15薪,经验不限,本科,"深度学习算法
人工智能
机器学习
数据挖掘
Hadoop
Spark",中移雄安,移动互联网,1000-9999人,"企业性质：央企
所属机构：中移雄安产业研究院-数智创新部
工作地点：北京，雄安新区
学历要求：大学本科211及以上学历，计算机、通信、电子、软件工程等相关专业。
注：本科211以上学历硬性要求，不满足勿投，感谢理解！
职位描述
1、通过机器学习、数据挖掘等技术，结合业务知识，帮助客户建立数据挖掘模型，解决智慧城市业务问题；
2、负责基础算法库、建模工具和建模框架的开发工作，不断对已有算法、工具和框架进行优化，提升数挖效率；
3、理解客户数据内容、业务场景需求，并选择适合的技术解决方案。
任职要求
专业技能：
1、熟练掌握并理解常规数据挖掘、机器学习相关算法及其原理，有大规模数据挖掘/机器学习研发经验；
2、熟练掌握常用的Hadoop、Spark大数据分析平台，熟悉TensorFlow、Caffe等深度学习框架；
3、熟练Python、JAVA、Scala、C等一种以上语言；
4、具备企业产品创新研究的组织和攻关能力；
5、在机器学习国际会议或者期刊上发表论文、相关国际比赛获奖、及相关专利者优先。
素质：
1、有责任心，工作热情、耐心、踏实、严谨，有团队合作精神；
2、具备有很好的学习和逻辑能力，强烈的探索和求知欲，良好的沟通的能力和撰写报告能力；
3、具备一定的抗压能力，善于应对来自工作上的各种压力。
经验：
至少有2年以上数据挖掘/机器学习算法研发经验，有通信运营商O域/B域大数据、智慧城市大数据、互联网大数据挖掘和机器学习算法研发经验者优先。",更新于：2024-01-26
机器学习/数据挖掘算法工程师【核心】,北京·海淀区·上地,30-50K·14薪,经验不限,本科,"大模型算法
推荐算法
Python
nlp
自然语言处理",作业帮,互联网,10000人以上,"岗位职责：
1. 基于多场景的用户行为，负责拉新变现业务场景的用户挖掘、用户刻画、用户排序、用户流转等算法；
2. 参与并探索变现转化业务场景相关算法，对算法模型进行优化和分析，最终提升效果转化效率
3. 对效果进行归因和分析，并跟踪和探索前沿技术
岗位要求：
1.精通python/c++/shell等常用语言，对数据结构和算法设计有较为深刻的理解;
2.熟悉一种或多种深度学习框架，包括Tensorflow/PyTorch/Caffe等
3.常用数据挖掘/机器学习算法原理并实际运用
4.扎实良好的数学基础,良好的英语阅读能力,具备根据论文独立实现算法的能力
5.计算机及相关专业本科以上学历，1年以上工作经验",更新于：2024-01-26
机器学习,北京,25-50K·14薪,经验不限,本科,"Python
C/C++
机器学习算法/工程化经验
深度学习经验",某大型基金公司,基金,100-499人,"职责描述：
1、在投资经理的指导下，研究并应用前沿的机器学习算法，发掘历史数据规律，建立模型并应用于市场预测；
2、用机器学习模型，研究因子及组合，并最大程度实现因子价值。
任职要求：
1、数学、计算机、或物理学等相关专业，熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）；
2、优秀的编程实现能力，能够熟练在Linux系统上使用Python或C++编程语言；
3、对量化行业感兴趣，并有较好的创新意识及学习能力，自我驱动力强。",更新于：2024-01-26
机器学习,北京·朝阳区·三里屯,16-25K,经验不限,本科,"大模型算法
深度学习
图像算法
数据挖掘
模型加速/性能优化
MATLAB
Java
Python
PySpark//PyTorch",永洪科技,互联网,100-499人,"岗位职责：
1. 参与ML需求分析、设计，独立完成后端相关需求功能开发；
2. 技术调研并撰写Feature详细设计文档；
3. 可处理开发过程中的技术问题，提出解决方案；
4. 对系统瓶颈提出系统优化的建议，处理永洪大数据平台ML相关模块优化；
5. 对AI/ML新技术保持关注；
任职要求：
1. 计算机相关专业统招本科及以上，硕士优先；
2. 良好的沟通技能，团队合作能力；
3. 熟悉python/java一种或多种开发语言；
4. 熟悉PySpark/TensorFlow/PyTorch等一种或多种常用工具；
5. 做过数据挖掘、机器学习相关项目或有相关工作经历者优先；",更新于：2024-01-26
机器学习,北京·海淀区·西三旗,25-50K,经验不限,本科,"深度学习
大模型算法
强化学习
自然语言处理算法
数据挖掘
推荐算法
C/C++
Python
大数据处理工具(Spark/Hadoop/Hive)
算法工程化经验",中电金信,计算机软件,10000人以上,"职责描述：
1. 为金融业客户设计实施数据智能相关的AI解决方案，用人工智能技术解决业务问题，提升业务竞争力；
2. 与客户进行沟通，理解需求，并转化为有效的技术解决方案；
3. 跟进AI项目交付，推动交付团队按要求实现技术解决方案；
4. 与团队成员紧密合作，分享知识和实践，提升团队战斗力。
任职要求：
1. 研究生及以上学历，计算机科学、数据科学、人工智能或相关专业；
2. 3年以上AI技术应用工作经验，具有人工智能、机器学习项目经验，能展示成功实施和交付的案例。优先考虑有物流业应用经验者；
3. 深刻理解人工智能、机器学习、深度学习等相关技术，掌握大模型技术原理及应用；
4. 熟悉PyTorch、TensorFlow、Keras等人工智能框架，对云计算平台有一定知识储备和实践经验；
5. 具备优秀的沟通技巧、良好的团队协作能力；
6. 能够在快节奏环境中进行多任务处理，能够应对一定工作压力，适应灵活的工作时间。",更新于：2024-01-26
机器学习训练框架研发工程师,北京,40-70K·13薪,经验不限,本科,"C/C++
机器学习框架
CUDA",某大型知名互联网公司,互联网,10000人以上,"1、负责 机器学习训练框架的研究与开发，服务于全公司各个产品；
2、参与机器学习训练框架底层组件的抽象，设计，优化与落地；
3、与全公司算法部门深度合作，为重点项目进行算法与系统的联合优化。
职位要求
1、熟练掌握Linux环境下的C/C++与Python语言；
2、接触过至少一种机器学习框架（PyTorch / Tensorflow / Jax 或其他自研框架）；
3、有以下至少一项的背景知识与经验：CUDA编程、编译器、高性能网络、分布式存储、超大规模分布式；
4、具有独立解决问题的能力，良好的团队合作精神；
5、有强烈的工作责任心，较好的学习能力、沟通能力和自驱力；
6、有良好的工作文档习惯，及时按要求撰写更新工作流程及技术文档。
加分项：
1、深入研究过至少一种机器学习框架（Tensorflow / PyTorch /Jax 或其他自研框架）的底层架构和机制；
2、熟悉至少一种经典深度学习模型及其应用场景，如ResNet、transformer、wave2vec、CLIP多模态，或者了解强化学习、diffusion model等；
3、有研究生或博士阶段的计算机系统方向（包含分布式系统、并行算法、编程语言与编译器、RDMA网络、存储、高性能计算等）研究背景；
4、有软硬件联合设计，底层性能优化（cutlass，NCCL等）的经验；
5、能使用数学工具分析深度学习训练中的优化收敛、量化压缩等算法；
6、贡献过开源社区代码。",更新于：2024-01-26
机器学习平台开发工程师-base北上深,北京,40-70K·15薪,1-3年,本科,"C/C++
CNN/RNN/LSTM
TensorFlow/PyTorch
计算机相关专业
机器学习算法/工程化经验
机器学习平台
MLE",某知名企业,基金,100-499人,"工作职责：
1、负责MLOps 相关体系建设；
2、配合研发团队设计稳健自动化的机器学习流水线；
任职要求：
1.985本科或以上学历，计算机相关专业背景。
2.1-3年相关开发经验，具有良好的编程习惯和扎实的编程基础。
3.有机器学习模型管理MLops 经验。
4.了解机器学习的基本方法。
5.具有较强的沟通能力，聪明踏实，乐于合作。",更新于：2024-01-26
AI模型评估—前端/后端/机器学习/数据分析,北京·朝阳区·八里庄,15-30K·15薪,1-3年,本科,"大模型算法
深度学习
数据挖掘
Scala
C/C++
SQL
算法工程化经验",北京字节跳动,移动互联网,10000人以上,"职位描述
1、制定AI模型评估在代码方向的评估标准，主导评估体系构建；
2、与技术团队和产品团队对接需求，设计并实施模型评估方案；
3、擅长代码编程，尤其对特定技术领域有体系化的认知。
职位要求
1、本科及以上学历，计算机科学与技术、软件工程、大数据技术、人工智能、智能科学与技术等相关专业优先；
2、有良好的编码风格及优化意识，能够在现有的基础上做出优化；
3、有责任心和较强的团队意识，对互联网及人工智能有较强的兴趣；
4、语言各方向要求（掌握其中一种方向即可）：
前端方向：
掌握GUI交互的设计与开发，熟悉色彩、图形、信息等的构建，具备一定的审美能力；熟悉HTML(5)，CSS(3)、JavaScript、AJAX等web开发技术，掌握前端主流框架至少一种，包括但不限于 Vue、React，熟悉Element-UI、iView、Ant Design、Vuetify等其中的组件库的使用；熟悉游戏前端开发，掌握至少一种游戏开发工具，包括但不限于Unity3D、Cocos Creator；掌握Android或iOS开发平台及框架原理；
后端方向：
掌握Python、Java、Go等其中至少一门后端编程语言；了解常见的后端服务开发框架，如：SpringBoot、Django、Flask等；熟悉主流数据库的操作，如：MySQL、PostgreSQL、Oracle等；掌握常见的CI/CD工具，如Jenkins、Git等；
机器学习方向：
熟练掌握Python编程语言；了解机器学习、深度学习、自然语言处理、计算机视觉、强化学习等领域；熟悉主流机器学习库，如：Scikit-learn、OpenCV、Numpy、Pandas等；熟练掌握至少一种深度学习框架，如PyTorch、TensorFlow、Keras、MXNet等；
数据分析方向：
熟练掌握至少一种编程语言，如Python等；具备大数据处理能力，熟练运用SQL，掌握相关数据分析工具；掌握数据仓库设计和建立的方法，具备优秀的数据分析能力和逻辑思维能力；具备扎实的数据分析能力，能够进行可视化分析，具备较好的业务理解能力。",更新于：2024-01-26
机器学习平台研发专家,北京·海淀区·清河,35-65K·14薪,经验不限,本科,"C/C++
机器学习算法/工程化经验
搜索/推荐
计算机相关专业
深度学习经验",第四范式,计算机软件,500-999人,"岗位职责：
1. 负责第四范式AI平台研发，包括但不限于数据平台，部署平台，训练平台，调度平台，编排平台，在线服务平台等
2. 负责具体客户对接，深入理解需求，设计解决方案
岗位要求：
1. 本科及以上学历，熟悉C++/golang/Java等一种或多种编程语言
2. 熟悉高性能后端开发模式，对性能，可用性有极致追求
3. 有搜索，推荐，广告，机器学习平台背景优先
4. 有从0到1，成功对接大客户系统平台优先",更新于：2024-01-27
机器学习平台专家工程师,北京,60-90K·16薪,经验不限,本科,"C/C++
GPU
AI Platform
Deep Learning",某500强上市公司,互联网,,"Key Words：C++, CUDA, GPU, AI Platform，Tensorflow, Pytorch, Deep Learning, Machine Learning
1. 主导新一代机器学习大规模计算/超算平台，不断满足机器学习研究员对极致算力的追求
2. 搭建，优化和维护基于分布式GPU/CPU计算资源的AI infra，根据公司技术架构提出业界最领先的解决方案和指导建议，不断迭代框架，算子，模型方案等
3. 持续探索机器学习相关的前沿技术，推动新技术落地
4. 为研究员提供机器学习问题的咨询服务",更新于：2024-01-27
机器学习训练引擎工程师,北京·朝阳区·望京,40-70K,经验不限,本科,"大模型算法
模型加速/性能优化
C/C++
Python
算法工程化经验",美团,互联网,10000人以上,"！！！base北京上海均可
1. 参与美团机器学习平台的引擎建设，支撑视觉、NLP、语音等业务场景
2. 负责美团大模型训练框架的稳定性、易用性、可观测性能力建设
3. 负责千卡规模和千亿参数的大规模训练性能优化",更新于：2024-01-24
算法模型工程师（机器学习方向）,北京·丰台区·北京南站,15-20K,1-3年,本科,"Hadoop/Hive/Spark
Python",恒鸿达体育,计算机软件,,"岗位描述:承担机器学习模型的数据探索分析、数据加工、建模、效果评估与上线工作
岗位要求:
1.全日制统招本科及以上学历，计算机相关专业毕业。
2具有2年及以上互联网或金融行业算法模型开发、数据挖掘开发类工作经验。
3.熟练使用sql做数据探查和分析，熟练掌握Python与Spark开发，熟悉常用的机器学习算法 (LR、XGB等)
4.具备良好的沟通协调能力与团队协作意识，做事细心严谨",更新于：2024-01-15
机器学习研发工程师,北京·海淀区·西北旺,20-40K·13薪,经验不限,本科,"Python
TensorFlow/PyTorch
Shell
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验",白杨时代,大数据,100-499人,"职责
1. 负责业务项目环境对接和智能体研发
2. 负责产品后台研发和智能体可视化研发
要求
1. 计算机相关专业本科以上
2. 熟悉C/C++，Python，Golang，Java，C#中至少二种语言
3. 具备较好的编码能力，熟悉常用的数据结构和算法
4. 熟悉Linux系统，熟悉docker，熟悉k8s等分布式系统
5. 熟悉机器学习/深度学习/强化学习系统，有相关系统开发经验者优先
6. 对业务有兴趣，能适应客户处长期驻场",更新于：2024-01-25
机器学习（钱多\WLB\不加班）,北京,50-80K·16薪,经验不限,本科,"Python
C/C++
机器学习算法/工程化经验
深度学习经验
计算机相关专业",某知名量化公司,基金,20-99人,"机器学习平台工程师
岗位职责:
1. 负责机器学习平台的设计与实现；
2. 参与机器学习平台的性能优化工作；
3. 推进MLOps, 优化从数据到实盘的整体流程。
应聘要求：
1. 毕业于知名院校，本科以上，理工专业, 有扎实的计算机基础；
2. 一年及以上相关工作经验；
3. 掌握Kubernetes架构和使用, 具有相关开发经验优先；
4. 掌握C++, Python并了解常见的算法与数据结构。
加分项：
1. 计算集群设计, 调优, 维护经验；
2. 熟悉高性能分布式存储；
3. 具有PyTorch等开源机器学习平台底层开发经验。",更新于：2024-01-26
机器学习/数据挖掘算法工程师,北京,50-80K·14薪,经验不限,本科,"大模型算法
数据挖掘
Python
Shell
C/C++
机器学习",某500强上市公司,互联网,10000人以上,"岗位职责：
1. 基于多场景的用户行为，负责拉新变现业务场景的用户挖掘、用户刻画、用户排序、用户流转等算法；
2. 参与并探索变现转化业务场景相关算法，对算法模型进行优化和分析，最终提升效果转化效率
3. 对效果进行归因和分析，并跟踪和探索前沿技术
岗位要求：
1.精通python/c++/shell等常用语言，对数据结构和算法设计有较为深刻的理解;
2.熟悉一种或多种深度学习框架，包括Tensorflow/PyTorch/Caffe等
3.常用数据挖掘/机器学习算法原理并实际运用
4.扎实良好的数学基础,良好的英语阅读能力,具备根据论文独立实现算法的能力
5.计算机及相关专业本科以上学历，1年以上工作经验本科以上，211/985学历以上",更新于：2024-01-25
机器学习应用开发-AI与工具链应用 SDK方向,北京·海淀区·西北旺,25-50K·15薪,1-3年,本科,"Python
C/C++
Shell
linx
机器学习
AI框架开发",地平线,互联网,1000-9999人,"机器学习应用开发工程师（AI与工具链应用 SDK方向）
工作职责：
1、让机器学习更好用，负责机器学习相关工具链的优化和封装，向社区开发者提供简单易用的AI应用体验；
2、探索AI的无限可能，将各种算法或开源项目应用于RDK套件，向社区开发者分享好玩、好用的AI应用；
3、根据相关工作完成方案评估、应用文档、开源代码等内容整理，确保社区开发者可以快速应用；
任职要求：
1、本科及以上学历，计算机、电子、数学或相关专业
2、良好的工程实践能力，孰悉Linux、shell、git等相关工程基础，熟练掌握Python，了解C/C++
3、对机器学习有一定了解，有以下至少一种深度学习框架的使用经验: Tensorflow/Pytorch/MXNet/Gluon/Caffe/Caffe2
4、掌握算法量化部署的能力，能够快速在端侧部署算法方案
5、具有较强的学习能力与动手能力，较强的沟通协调能力，较好的团队合作精神
加分项：
参加过RoboMaster/ROBOCON/智能车竞赛等国内机器人比赛优先；
参与或创建过机器学习相关开源项目或社区者优先；",更新于：2024-01-26
